ResellerKey|GeographyKey|ResellerAlternateKey|Phone|BusinessType|ResellerName|NumberEmployees|OrderFrequency|OrderMonth|FirstOrderYear|LastOrderYear|ProductLine|AddressLine1|AddressLine2|AnnualSales|BankName|MinPaymentType|MinPaymentAmount|AnnualRevenue|YearOpened
315|408|AW00000315|843-555-0175|Value Added Reseller|Juvenile Sports Equipment|18|S|4|2010|2012|Mountain|78025 E. Mercy Island Cswy||800000.00|Reserve Security|2||80000.00|1998
316|83|AW00000316|207-555-0167|Specialty Bike Shop|Low Price Cycles|30|A|5|2013|2013|Mountain|Suite 500 995 W. 11th Avenue||1500000.00|International Bank|3|600.00|150000.00|2000
317|45|AW00000317|767-555-0151|Warehouse|Finer Riding Supplies|98|Q|5|2011|2013|Road|#9900 2700 Production Way||3000000.00|International Security|3|1000.00|300000.00|2002
318|69|AW00000318|277-555-0169|Value Added Reseller|First-Rate Outlet|20|S|5|2011|2011|Road|25537 Hillside Avenue||1000000.00|Primary International|2||100000.00|2004
319|220|AW00000319|1 (11) 500 555-0181|Specialty Bike Shop|Cycles Sales and Repair|29|A|6|2013|2013|Touring|3387, rue Marbeuf||1000000.00|United Security|1||100000.00|2005
320|145|AW00000320|1 (11) 500 555-0146|Warehouse|Amalgamated Parts Shop|99|Q|4|2012|2013|Touring|Brunnenstr 422||3000000.00|Primary Bank & Reserve|||300000.00|2003
321|8|AW00000321|1 (11) 500 555-0140|Value Added Reseller|Second Bike Shop|19|S|2|2013|2013|Road|6 Lord Street||800000.00|Guardian Bank|1||80000.00|2004
322|259|AW00000322|1 (11) 500 555-0176|Specialty Bike Shop|Tachometers and Accessories|28|A|6|2012|2013|Mountain|Wymbush||1000000.00|Reserve Security|2||100000.00|1975
323|460|AW00000323|689-555-0130|Warehouse|Metro Bike Works|100|Q|5|2012|2013|Mountain|250000 Eight Mile Road||3000000.00|International Bank|3|600.00|300000.00|2003
324|516|AW00000324|842-555-0125|Value Added Reseller|A Bicycle Association|18|S||||Touring|6405 Erie Blvd. Hills Plaza||800000.00|International Security|||80000.00|1979
325|610|AW00000325|918-555-0127|Specialty Bike Shop|All Cycle Shop|27|A|4|2011|2013|Mountain|25111 228th St Sw||1000000.00|Primary International|1||100000.00|2002
326|622|AW00000326|164-555-0145|Warehouse|Year-Round Sports|66|Q|11|2011|2012|Mountain|2583 Se 272nd St||3000000.00|United Security|2||300000.00|1983
327|487|AW00000327|695-555-0158|Value Added Reseller|World of Bikes|17|S|6|2012|2013|Mountain|660 Lindbergh||800000.00|Primary Bank & Reserve|3|600.00|80000.00|2001
328|591|AW00000328|560-555-0171|Value Added Reseller|Totes & Baskets Company|2|S|5|2011|2013|Road|72540 Blanco Rd.||300000.00|Guardian Bank|3|200.00|30000.00|1974
329|315|AW00000329|795-555-0116|Specialty Bike Shop|Unicycles, Bicycles, and Tricycles|10|A||||Touring|Stonewood Mall||800000.00|Reserve Security|2||80000.00|1976
330|327|AW00000330|637-555-0120|Warehouse|The New Bike Store|40|Q|6|2011|2012|Road|Hanford Mall||1500000.00|International Bank|1||150000.00|1978
331|349|AW00000331|433-555-0168|Value Added Reseller|Technical Parts Manufacturing|5|S|4|2012|2013|Touring|Ontario Mills||300000.00|International Security|||30000.00|1980
332|284|AW00000332|144-555-0175|Specialty Bike Shop|Topnotch Bikes|13|A||||Mountain|574 Atlanta Highway||800000.00|Primary International|1||80000.00|1982
333|563|AW00000333|621-555-0157|Warehouse|Resident Cycle Shop|43|Q||||Mountain|5230a Hwy. 2553||1500000.00|United Security|2||150000.00|1984
334|98|AW00000334|155-555-0140|Value Added Reseller|Retreat Inn|8|S|5|2012|2013|Road|Suite 2502 410 Albert Street||300000.00|Primary Bank & Reserve|3|600.00|30000.00|1986
335|82|AW00000335|156-555-0111|Specialty Bike Shop|Scratch-Resistant Finishes Company|16|A|8|2011|2013|Mountain|5700 Explorer Drive||800000.00|Guardian Bank|||80000.00|1988
336|107|AW00000336|495-555-0161|Warehouse|Primary Bike Distributors|46|Q|5|2011|2013|Road|965 De La Gauchetiere West||1500000.00|Reserve Security|1||150000.00|1990
337|217|AW00000337|1 (11) 500 555-0116|Value Added Reseller|Recreation Toy Store|11|S|4|2011|2013|Mountain|39, avenue des Laurentides||800000.00|International Bank|2||80000.00|1992
338|177|AW00000338|1 (11) 500 555-0136|Specialty Bike Shop|Rambling Tours|19|A|9|2013|2013|Touring|Rotth„user Weg 511||800000.00|International Security|3|600.00|80000.00|1994
339|8|AW00000339|1 (11) 500 555-0180|Warehouse|Major Bicycle Store|49|Q|8|2013|2013|Touring|Level 6|538 Climbing Street|1500000.00|Primary International|3|1000.00|150000.00|1996
340|274|AW00000340|1 (11) 500 555-0195|Value Added Reseller|Nearby Cycle Shop|14|S|6|2012|2013|Mountain|Burgess Hill|Edward Way|800000.00|United Security|2||80000.00|1998
341|515|AW00000341|710-555-0116|Specialty Bike Shop|Independent Outlet|22|A||||Road|Great Northern Mall Hwy4 & Rt. 31||1000000.00|Primary Bank & Reserve|1||100000.00|2000
342|443|AW00000342|433-555-0162|Warehouse|Leather and Vinyl Manufacturing|52|Q|5|2011|2011|Road|250 E. County Line Rd.||3000000.00|Guardian Bank|||300000.00|2002
343|615|AW00000343|490-555-0132|Value Added Reseller|Mail-Order Outlet|17|S|5|2012|2013|Road|409 S. Main Ste. 25||800000.00|Reserve Security|1||80000.00|2004
344|616|AW00000344|652-555-0132|Specialty Bike Shop|Fifth Bike Store|25|A|4|2010|2013|Road|2502 Evergreen Ste E||1000000.00|International Bank|2||100000.00|2005
345|583|AW00000345|121-555-0139|Warehouse|Genial Bike Associates|55|Q|5|2012|2013|Mountain|99450 Highway 59 North||3000000.00|International Security|3|600.00|300000.00|2003
346|435|AW00000346|810-555-0160|Value Added Reseller|Great Bicycle Supply|20|S|5|2011|2011|Mountain|455 256th St.||1000000.00|Primary International|||100000.00|2004
347|378|AW00000347|857-555-0187|Specialty Bike Shop|Bike Universe|28|A||||Mountain|Nut Tree Factory||1000000.00|United Security|1||100000.00|1975
348|390|AW00000348|855-555-0174|Warehouse|Bold Bike Accessories|58|Q|5|2011|2013|Mountain|Rocky Mountain Pines Outlet||3000000.00|Primary Bank & Reserve|2||300000.00|2003
349|362|AW00000349|112-555-0176|Value Added Reseller|Exercise Center|19|S|6|2012|2012|Mountain|Stevens Creek Shopping Center||800000.00|Guardian Bank|3|600.00|80000.00|1979
350|569|AW00000350|756-555-0117|Specialty Bike Shop|Mountain Emporium|31|A|11|2012|2012|Mountain|25800 Gallitin Rd.||1500000.00|Reserve Security|3|600.00|150000.00|2002
351|425|AW00000351|178-555-0129|Warehouse|Acclaimed Bicycle Company|61|Q|6|2013|2013|Touring|830 Highway 499 So||3000000.00|International Bank|2||300000.00|1983
352|42|AW00000352|155-555-0149|Value Added Reseller|Twelfth Bike Store|18|S|5|2012|2013|Mountain|No. 25400 10665 Jasper Avenue||800000.00|International Security|1||80000.00|2001
353|72|AW00000353|700-555-0155|Specialty Bike Shop|Two-Wheeled Transit Company|34|A|5|2011|2013|Mountain|P.O. Box 44000||1500000.00|Primary International|||150000.00|1987
354|41|AW00000354|614-555-0134|Warehouse|Serious Cycles|64|Q|11|2011|2013|Mountain|Suite 99320 255 - 510th Avenue S.W.||3000000.00|United Security|1||300000.00|2000
355|193|AW00000355|1 (11) 500 555-0165|Value Added Reseller|Spare Parts Co.|17|S|4|2011|2013|Mountain|3101, avenue de Malakoff||800000.00|Primary Bank & Reserve|2||80000.00|1991
356|132|AW00000356|1 (11) 500 555-0190|Specialty Bike Shop|Speedometer Sales|37|A||||Road|Am Karlshof 8200||1500000.00|Guardian Bank|3|600.00|150000.00|1999
357|29|AW00000357|1 (11) 500 555-0181|Warehouse|Quality Bike Sales|67|Q|5|2013|2013|Touring|P.O. Box 990032||3000000.00|Reserve Security|||300000.00|1995
358|277|AW00000358|1 (11) 500 555-0144|Value Added Reseller|Mail Market|16|S|5|2013|2013|Touring|308-3250 Casting Road||800000.00|International Bank|1||80000.00|1998
359|525|AW00000359|377-555-0158|Specialty Bike Shop|Mechanical Sports Center|40|A|5|2012|2013|Road|6225 Glenway Ave.||1500000.00|International Security|2||150000.00|1999
360|470|AW00000360|327-555-0148|Warehouse|Novelty Bikes|70|Q|5|2013|2013|Touring|998 Forest Road||3000000.00|Primary International|3|600.00|300000.00|1997
361|639|AW00000361|390-555-0150|Value Added Reseller|Fitness Supplies|15|S|5|2013|2013|Touring|755 W Washington Ave Ste D||800000.00|United Security|3|200.00|80000.00|2003
362|641|AW00000362|889-555-0176|Specialty Bike Shop|Grand Cycle Store|43|A||||Road|44606 N Division St||1500000.00|Primary Bank & Reserve|2||150000.00|1996
363|486|AW00000363|556-555-0145|Warehouse|Immense Manufacturing Company|73|Q|5|2013|2013|Touring|70 N.W. Plaza||3000000.00|Guardian Bank|1||300000.00|2002
364|482|AW00000364|249-555-0179|Value Added Reseller|District Mall|14|S|5|2011|2011|Road|25095 W. Florissant||800000.00|Reserve Security|||80000.00|1995
365|296|AW00000365|539-555-0182|Specialty Bike Shop|Distinctive Store|46|A|6|2011|2011|Road|Factory Merchants||1500000.00|International Bank|1||150000.00|2001
366|309|AW00000366|129-555-0110|Warehouse|Extended Bike Sales|76|Q|6|2011|2011|Mountain|The Citadel Commerce Plaza||3000000.00|International Security|2||300000.00|1994
367|359|AW00000367|145-555-0166|Value Added Reseller|Brown Bicycle Company|13|S||||Road|University Town Center||800000.00|Primary International|3|600.00|80000.00|2000
368|422|AW00000368|945-555-0112|Specialty Bike Shop|Elemental Sporting Goods|49|A|6|2011|2013|Mountain|99842 White Mill East||1500000.00|United Security|||150000.00|1993
369|449|AW00000369|922-555-0193|Warehouse|Distinctive Cycles Sales & Service|79|Q|6|2011|2013|Mountain|Turfway Retail Center||3000000.00|Primary Bank & Reserve|1||300000.00|1999
370|41|AW00000370|656-555-0173|Value Added Reseller|Acceptable Sales & Service|12|S|5|2011|2011|Road|6400, 888 - 3rd Avenue||800000.00|Guardian Bank|2||80000.00|1992
371|67|AW00000371|140-555-0143|Specialty Bike Shop|Custom Sales and Service|48|A||||Road|255117 - 101 Avenue||1500000.00|Reserve Security|3|600.00|150000.00|1998
372|80|AW00000372|421-555-0192|Warehouse|Top Bike Market|80|Q|6|2013|2013|Touring|975 Princess Street||3000000.00|International Bank|3|1000.00|300000.00|1991
373|211|AW00000373|1 (11) 500 555-0132|Value Added Reseller|Township Inn|11|S||||Road|61, rue Henri Gagnon||800000.00|International Security|2||80000.00|1997
374|135|AW00000374|1 (11) 500 555-0147|Specialty Bike Shop|Major Equipment Co|47|A||||Touring|Holzstr 6444||1500000.00|Primary International|1||150000.00|1990
375|22|AW00000375|1 (11) 500 555-0181|Warehouse|Region Bike Company|81|Q||||Road|P O Box 72569||3000000.00|United Security|||300000.00|1996
376|230|AW00000376|1 (11) 500 555-0146|Value Added Reseller|Commerce Bicycle Specialists|10|S|5|2012|2013|Mountain|Wharfdale Road||800000.00|Primary Bank & Reserve|1||80000.00|1989
377|470|AW00000377|941-555-0155|Specialty Bike Shop|Grand Sport Boutique|46|A|5|2012|2013|Road|99800 Tittabawasee Rd.||1500000.00|Guardian Bank|2||150000.00|1995
378|534|AW00000378|238-555-0163|Warehouse|Grown-up Bike Store|82|Q|5|2013|2013|Mountain|25192 Princeton Rd.||3000000.00|Reserve Security|3|600.00|300000.00|1988
379|547|AW00000379|275-555-0179|Value Added Reseller|Fad Outlet|9|S|6|2012|2013|Road|2550 Ne Sandy Blvd||300000.00|International Bank|||30000.00|1994
380|654|AW00000380|542-555-0164|Specialty Bike Shop|First Department Stores|45|A|4|2011|2013|Mountain|2540 Dell Range Blvd||1500000.00|International Security|1||150000.00|1987
381|487|AW00000381|145-555-0194|Warehouse|Bicycle Lines Distributors|83|Q|5|2012|2013|Mountain|6996 South Lindbergh||3000000.00|Primary International|2||300000.00|1993
382|591|AW00000382|510-555-0123|Value Added Reseller|Beneficial Exercises and Activities|8|S|3|2012|2013|Road|6425 Nw Loop 410||300000.00|United Security|3|600.00|30000.00|1986
383|354|AW00000383|773-555-0182|Specialty Bike Shop|Vehicle Shop|44|A|4|2011|2013|Road|Pavillion @ Redlands||1500000.00|Primary Bank & Reserve|3|600.00|150000.00|1992
384|365|AW00000384|787-555-0128|Warehouse|Sparkling Paint and Finishes|84|Q|5|2011|2011|Mountain|San Diego Factory||3000000.00|Guardian Bank|2||300000.00|1985
385|324|AW00000385|330-555-0116|Value Added Reseller|Sturdy Toys|7|S|5|2011|2013|Mountain|Pacific West Outlet||300000.00|Reserve Security|1||30000.00|1991
386|559|AW00000386|884-555-0193|Specialty Bike Shop|Touring Services|43|A|12|2011|2013|Road|25 Myrtle Beach||1500000.00|International Bank|||150000.00|1984
387|282|AW00000387|825-555-0187|Warehouse|Racing Association|85|Q|4|2011|2013|Road|Parkway City Mall||3000000.00|International Security|1||300000.00|1990
388|68|AW00000388|112-555-0195|Value Added Reseller|Road Way Sales and Rental|6|S|6|2012|2012|Mountain|2900 - 25055 Dunning Street||300000.00|Primary International|2||30000.00|1983
389|67|AW00000389|428-555-0176|Specialty Bike Shop|Sixth Bike Store|42|A|5|2011|2012|Mountain|Suite 25800 3401 - 10810th Avenue||1500000.00|United Security|3|600.00|150000.00|1989
390|98|AW00000390|204-555-0189|Warehouse|Plastic Parts Company|86|Q|5|2011|2013|Mountain|750 Philip Street||3000000.00|Primary Bank & Reserve|||300000.00|1982
391|194|AW00000391|1 (11) 500 555-0115|Value Added Reseller|Pretty Bikes and Toys|5|S|5|2013|2013|Road|9005, rue des Bouchers||300000.00|Guardian Bank|1||30000.00|1988
392|147|AW00000392|1 (11) 500 555-0133|Specialty Bike Shop|Primary Cycle Shop|41|A|4|2012|2013|Road|Am Grossen Dern 982||1500000.00|Reserve Security|2||150000.00|1981
393|9|AW00000393|1 (11) 500 555-0155|Warehouse|Gears and Parts Company|87|Q|5|2013|2013|Touring|2nd Floor|55 Lavender Street|3000000.00|International Bank|3|600.00|300000.00|1987
394|278|AW00000394|1 (11) 500 555-0116|Value Added Reseller|Little Sports Center|4|S||||Touring|7 Pioneer Business Park||300000.00|International Security|3|200.00|30000.00|1980
395|464|AW00000395|249-555-0172|Specialty Bike Shop|Online Bike Sellers|40|A|6|2012|2012|Mountain|678 Eastman Ave.||1500000.00|Primary International|||150000.00|1986
396|446|AW00000396|214-555-0170|Warehouse|Executive Gift Store|88|Q|5|2012|2013|Mountain|New Castle Plaza||3000000.00|United Security|1||300000.00|1979
397|637|AW00000397|928-555-0117|Value Added Reseller|Capable Sales and Service|3|S|4|2010|2011|Mountain|765 Delridge Way Sw||300000.00|Primary Bank & Reserve|||30000.00|1985
398|430|AW00000398|383-555-0155|Specialty Bike Shop|Commendable Bikes|39|A|4|2011|2013|Road|4781 Highway 95||1500000.00|Guardian Bank|1||150000.00|1978
399|585|AW00000399|588-555-0128|Warehouse|Big Cycle Mall|89|Q|5|2013|2013|Touring|9500b E. Central Texas Expressway||3000000.00|Reserve Security|2||300000.00|1984
400|434|AW00000400|632-555-0171|Value Added Reseller|Local Sales and Rental|2|S|6|2013|2013|Touring|1200 First Ave.||300000.00|International Bank|3|600.00|30000.00|1977
401|509|AW00000401|883-555-0177|Specialty Bike Shop|Brightwork Company|38|A|5|2011|2013|Mountain|Belz Factory Outlet||1500000.00|International Security|||150000.00|1983
402|303|AW00000402|640-555-0198|Warehouse|Pro Sporting Goods|90|Q||||Mountain|Camarillo Athletic Stores||3000000.00|Primary International|1||300000.00|1976
403|333|AW00000403|996-555-0196|Value Added Reseller|Affordable Sports Equipment|4|S|5|2011|2012|Road|Lake Elisnor Place||300000.00|United Security|2||30000.00|1982
404|562|AW00000404|717-555-0131|Specialty Bike Shop|Activity Center|37|A|4|2011|2013|Road|Factory Stores Of America||1500000.00|Primary Bank & Reserve|3|600.00|150000.00|1975
405|564|AW00000405|813-555-0173|Warehouse|Sporting Goods and Bicycle Shop|91|Q||||Road|Fort Henry Mall||3000000.00|Guardian Bank|3|1000.00|300000.00|1981
406|108|AW00000406|570-555-0199|Value Added Reseller|The Commissary|6|S|3|2012|2012|Road|Bureau 9900 825, Avenue Querbes||300000.00|Reserve Security|2||30000.00|1974
407|106|AW00000407|665-555-0198|Specialty Bike Shop|Workout Emporium|36|A|6|2013|2013|Touring|700 Bureau Road||1500000.00|International Bank|1||150000.00|1980
408|61|AW00000408|519-555-0151|Warehouse|Odometers and Accessories Company|92|Q|6|2013|2013|Touring|253711 Mayfield Place, Unit 150||3000000.00|International Security|||300000.00|1991
409|181|AW00000409|1 (11) 500 555-0123|Value Added Reseller|Outdoor Toy Store|8|S||||Mountain|18, rue de l'Esplanade||300000.00|Primary International|1||30000.00|1979
410|168|AW00000410|1 (11) 500 555-0139|Specialty Bike Shop|Pedaling Components|35|A|5|2013|2013|Touring|Conesweg 49||1500000.00|United Security|2||150000.00|1992
411|12|AW00000411|1 (11) 500 555-0142|Warehouse|Kids and Adults Cycle Shop|93|Q|5|2013|2013|Mountain|258 Berry Street||3000000.00|Primary Bank & Reserve|3|600.00|300000.00|1978
412|232|AW00000412|1 (11) 500 555-0181|Value Added Reseller|Leisure Clearing House|10|S|5|2012|2013|Road|Unit 99a Battery Retail Pk||800000.00|Guardian Bank|||80000.00|1974
413|513|AW00000413|752-555-0115|Specialty Bike Shop|Margie's Travel|34|A||||Mountain|Woodbury Commons||1500000.00|Reserve Security|1||150000.00|1976
414|441|AW00000414|727-555-0190|Warehouse|Grand Discount Store|94|Q|4|2011|2013|Mountain|Indiana Factory Shops||3000000.00|International Bank|2||300000.00|1978
415|641|AW00000415|708-555-0169|Value Added Reseller|Imaginary Toys|12|S||||Touring|4210 E Sprague Ave||800000.00|International Security|3|600.00|80000.00|1980
416|643|AW00000416|134-555-0182|Specialty Bike Shop|Impromptu Trips|33|A||||Mountain|Valley Mall||1500000.00|Primary International|3|600.00|150000.00|1982
417|591|AW00000417|273-555-0181|Warehouse|Genuine Bike Shop|95|Q|12|2011|2013|Road|7760 N. Pan Am Expwy||3000000.00|United Security|2||300000.00|1984
418|652|AW00000418|223-555-0184|Value Added Reseller|Good Bike Shop|14|S|6|2011|2013|Road|99433 S. Greenbay Rd.||800000.00|Primary Bank & Reserve|1||80000.00|1986
419|346|AW00000419|816-555-0118|Specialty Bike Shop|Exertion Activities Club|32|A||||Touring|Norwalk Square||1500000.00|Guardian Bank|||150000.00|1988
420|370|AW00000420|429-555-0145|Warehouse|Extreme Riding Supplies|96|Q|6|2013|2013|Touring|Riverside||3000000.00|Reserve Security|1||300000.00|1990
421|384|AW00000421|448-555-0179|Value Added Reseller|Fitness Cycling|16|S|4|2012|2013|Mountain|The Quad @ WestView||800000.00|International Bank|2||80000.00|1992
422|558|AW00000422|762-555-0110|Specialty Bike Shop|Consolidated Sales|31|A|5|2011|2013|Mountain|Carolina Factory Shops||1500000.00|International Security|3|600.00|150000.00|1994
423|488|AW00000423|334-555-0146|Warehouse|Bike Rims Company|97|Q|4|2010|2012|Road|Edgewater Mall||3000000.00|Primary International|||300000.00|1996
424|91|AW00000424|371-555-0143|Value Added Reseller|Bikes for Two|18|S|6|2012|2013|Mountain|63 West Beaver Creek||800000.00|United Security|1||80000.00|1998
425|78|AW00000425|910-555-0116|Specialty Bike Shop|Bikes for Kids and Adults|30|A|4|2011|2013|Mountain|9900 Ronson Drive||1500000.00|Primary Bank & Reserve|2||150000.00|2000
426|76|AW00000426|817-555-0114|Warehouse|Custom Accessories Company|98|Q|5|2012|2013|Road|251 Indell Lane||3000000.00|Guardian Bank|3|600.00|300000.00|2002
427|199|AW00000427|1 (11) 500 555-0122|Value Added Reseller|Atypical Bike Company|20|S|11|2013|2013|Road|7551, avenue Foch||1000000.00|Reserve Security|3|200.00|100000.00|2004
428|157|AW00000428|1 (11) 500 555-0112|Specialty Bike Shop|West Wind Distributors|29|A|6|2013|2013|Touring|Kr”nerweg 9249||1000000.00|International Bank|2||100000.00|2005
429|15|AW00000429|1 (11) 500 555-0183|Warehouse|Unusual Bicycle Company|99|Q|4|2012|2013|Touring|85 Egerton Street||3000000.00|International Security|1||300000.00|2003
430|233|AW00000430|1 (11) 500 555-0118|Value Added Reseller|Uttermost Bike Shop|19|S|5|2012|2013|Road|Ellesfield Ave||800000.00|Primary International|||80000.00|2004
431|461|AW00000431|583-555-0130|Specialty Bike Shop|Small Cycle Store|28|A|4|2010|2013|Road|Horizon Outlet Center||1000000.00|United Security|1||100000.00|1975
432|443|AW00000432|186-555-0135|Warehouse|Super Sports Store|100|Q|5|2011|2013|Road|Washington Square Ii||3000000.00|Primary Bank & Reserve|2||300000.00|2003
433|624|AW00000433|827-555-0143|Value Added Reseller|Thorough Parts and Repair Services|18|S|5|2011|2013|Road|S Sound Ctr Suite 25300||800000.00|Guardian Bank|3|600.00|80000.00|1979
434|493|AW00000434|234-555-0112|Specialty Bike Shop|Road-Way Mart|27|A|10|2012|2012|Mountain|Southgate Mall||1000000.00|Reserve Security|||100000.00|2002
435|577|AW00000435|847-555-0151|Warehouse|Satin Finish Company|66|Q|5|2012|2013|Mountain|25220 Airline Road||3000000.00|International Bank|1||300000.00|1983
436|576|AW00000436|145-555-0152|Value Added Reseller|Sheet Metal Manufacturing|17|S|5|2012|2013|Road|25306 Harvey Rd.||800000.00|International Security|2||80000.00|2001
437|288|AW00000437|148-555-0149|Value Added Reseller|Professional Cycle Store|2|S|4|2011|2013|Mountain|Arcadia Crossing||300000.00|Primary International|3|600.00|30000.00|1974
438|509|AW00000438|121-555-0157|Specialty Bike Shop|Remarkable Bike Store|10|A|6|2011|2013|Road|Eastern Beltway Center||800000.00|United Security|3|600.00|80000.00|1976
439|291|AW00000439|425-555-0158|Warehouse|Regional Manufacturing|40|Q|3|2011|2011|Mountain|Factory Stores/tucson||1500000.00|Primary Bank & Reserve|2||150000.00|1978
440|411|AW00000440|315-555-0166|Value Added Reseller|Hobby Store|5|S|4|2011|2013|Mountain|Highland Lakes Shopping Ctr.||300000.00|Guardian Bank|1||30000.00|1980
441|452|AW00000441|500-555-0134|Specialty Bike Shop|Leading Bike Distributors|13|A|5|2013|2013|Road|Grand Central Place||800000.00|Reserve Security|||80000.00|1982
442|94|AW00000442|185-555-0190|Warehouse|Original Bicycle Supply Company|43|Q|4|2010|2013|Mountain|2573 Dufferin Street||1500000.00|International Bank|1||150000.00|1984
443|91|AW00000443|476-555-0184|Value Added Reseller|Courteous Bicycle Specialists|8|S|6|2013|2013|Touring|995 Crescent||300000.00|International Security|2||30000.00|1986
444|41|AW00000444|396-555-0187|Specialty Bike Shop|Finer Cycle Shop|16|A|5|2012|2013|Mountain|2500-622 5th Ave Sw||800000.00|Primary International|3|600.00|80000.00|1988
445|222|AW00000445|1 (11) 500 555-0130|Warehouse|First Center|46|Q|6|2013|2013|Mountain|22, rue Lafayette||1500000.00|United Security|||150000.00|1990
446|141|AW00000446|1 (11) 500 555-0115|Value Added Reseller|Fitness Toys|11|S|5|2013|2013|Touring|Auf Der Steige 1000||800000.00|Primary Bank & Reserve|1||80000.00|1992
447|16|AW00000447|1 (11) 500 555-0113|Specialty Bike Shop|Cross-town Parts Shop|19|A||||Road|Po Box 25484||800000.00|Guardian Bank|2||80000.00|1994
448|276|AW00000448|1 (11) 500 555-0176|Warehouse|Action Bicycle Specialists|49|Q|6|2013|2013|Touring|Warrington Ldc Unit 25/2||1500000.00|Reserve Security|3|600.00|150000.00|1996
449|606|AW00000449|881-555-0139|Value Added Reseller|Bike Products and Accessories|14|S|5|2012|2013|Mountain|Regency Hilltop Shopping Cntr||800000.00|International Bank|3|200.00|80000.00|1998
450|456|AW00000450|115-555-0170|Specialty Bike Shop|Bikes Anyone?|22|A||||Touring|Ames Plaza||1000000.00|International Security|2||100000.00|2000
451|544|AW00000451|691-555-0149|Warehouse|Roadway Bike Emporium|52|Q|4|2012|2013|Touring|Medford||3000000.00|Primary International|1||300000.00|2002
452|535|AW00000452|398-555-0167|Value Added Reseller|A Cycle Shop|17|S||||Touring|Heritage Mall||800000.00|United Security|||80000.00|2004
453|650|AW00000453|672-555-0112|Specialty Bike Shop|Unique Bikes|25|A|6|2011|2011|Mountain|3900 S. 997th St.||1000000.00|Primary Bank & Reserve|1||100000.00|2005
454|560|AW00000454|834-555-0132|Warehouse|Sleek Bikes|55|Q|6|2013|2013|Touring|44025 W. Empire||3000000.00|Guardian Bank|2||300000.00|2003
455|293|AW00000455|740-555-0159|Value Added Reseller|Timely Shipping Service|20|S||||Mountain|Viejas Outlet Center||1000000.00|Reserve Security|3|600.00|100000.00|2004
456|330|AW00000456|912-555-0149|Specialty Bike Shop|Riding Excursions|28|A|1|2011|2011|Road|West Park Plaza||1000000.00|International Bank|||100000.00|1975
457|287|AW00000457|962-555-0112|Warehouse|Retail Sporting Equipment|58|Q|6|2012|2012|Mountain|Factory Stores Of America||3000000.00|International Security|1||300000.00|2003
458|404|AW00000458|317-555-0163|Value Added Reseller|Simple Bike Parts|19|S|4|2010|2013|Road|Silver Sands Factory Outlet||800000.00|Primary International|2||80000.00|1979
459|423|AW00000459|653-555-0170|Specialty Bike Shop|Parts Shop|31|A|10|2013|2013|Road|West Georgia Commons||1500000.00|United Security|3|600.00|150000.00|2002
460|100|AW00000460|753-555-0179|Warehouse|Price-Cutter Discount Bikes|61|Q|6|2011|2013|Road|6700 Boul Taschereau||3000000.00|Primary Bank & Reserve|3|1000.00|300000.00|1983
461|84|AW00000461|907-555-0170|Value Added Reseller|Active Life Toys|18|S|6|2012|2012|Road|55 Standish Court||800000.00|Guardian Bank|2||80000.00|2001
462|61|AW00000462|962-555-0175|Specialty Bike Shop|General Riding Supplies|34|A|5|2012|2013|Mountain|43251 Viking Way, Unit 130||1500000.00|Reserve Security|1||150000.00|1987
463|211|AW00000463|1 (11) 500 555-0123|Warehouse|Brand New Bikes|64|Q||||Road|215, avenue Reille||3000000.00|International Bank|||300000.00|2000
464|174|AW00000464|1 (11) 500 555-0147|Value Added Reseller|Educational Services|17|S|6|2013|2013|Touring|Wallstr 244||800000.00|International Security|1||80000.00|1991
465|17|AW00000465|1 (11) 500 555-0137|Specialty Bike Shop|Expert Cycle Store|37|A||||Touring|Orwith Center|39 Herbert Street|1500000.00|Primary International|2||150000.00|1999
466|258|AW00000466|1 (11) 500 555-0136|Warehouse|Central Bicycle Specialists|67|Q|6|2013|2013|Touring|6 The Farm, Liberty Road||3000000.00|United Security|3|600.00|300000.00|1995
467|603|AW00000467|505-555-0145|Value Added Reseller|The Cycle Store|16|S|12|2013|2013|Mountain|The Corner Shopping Center||800000.00|Primary Bank & Reserve|||80000.00|1998
468|465|AW00000468|492-555-0146|Specialty Bike Shop|Blue Bicycle Company|40|A|2|2012|2013|Road|Horizon Outlet Center||1500000.00|Guardian Bank|1||150000.00|1999
469|613|AW00000469|554-555-0124|Warehouse|Vast Bike Sales and Rental|70|Q|5|2011|2011|Mountain|Lewis County Mall||3000000.00|Reserve Security|2||300000.00|1997
470|621|AW00000470|328-555-0192|Value Added Reseller|Wingtip Toys|15|S|3|2013|2013|Mountain|755 Columbia Ctr Blvd||800000.00|International Bank|3|600.00|80000.00|2003
471|591|AW00000471|596-555-0153|Specialty Bike Shop|Social Activities Club|43|A|5|2011|2013|Road|23025 S.W. Military Rd.||1500000.00|International Security|3|600.00|150000.00|1996
472|436|AW00000472|252-555-0127|Warehouse|Summer Sports Place|73|Q|12|2012|2013|Mountain|Ring Plaza||3000000.00|Primary International|2||300000.00|2002
473|288|AW00000473|731-555-0187|Value Added Reseller|Racing Toys|14|S|6|2011|2013|Road|Prime Outlets||800000.00|United Security|1||80000.00|1995
